Country,Regulation Status,Policy Lever,Governance Type,Actor Involvement,Enforcement Level,Specific Laws,Sources,Last Updated,Confidence
China,"China has implemented active regulation of AI with multiple sector-specific laws and guidelines, focusing on generative AI, algorithmic recommendations, and data security. The regulatory framework combines top-down governmental mandates with organizational-level compliance requirements, evolving from initial guidelines (2017-2021) to binding legislation (2022-2026).","China employs comprehensive policy mechanisms including data governance, algorithm transparency and control, content security requirements, and model training restrictions. Regulatory levers target data flows, algorithmic decision-making processes, generative AI model safety, and cross-border data transfers through multiple coordinated agencies.","Governance combines central government directives with organizational compliance frameworks, involving CAC (Cyberspace Administration), MIIT, and sector regulators in coordinated oversight. Deep synthesis approach integrates technology requirements, generative AI safeguards, and case-by-case model review mechanisms.","Multi-level actors include central government agencies (CAC, MIIT, NDRC), provincial authorities, industry organizations, and technology companies in hierarchical compliance structure. International engagement through BRICS and bilateral arrangements complements national top-down regulatory approach.","Active enforcement through CAC audits, administrative penalties, business license revocation, financial fines, and content takedown orders; documented enforcement actions against non-compliant platforms increased significantly 2023-2026.","Generative AI Service Management Regulations (2023), Algorithm Recommendation Service Governance Regulations (2022), Data Security Law (2021), Personal Information Protection Law (2021), Online Content Security Assessment Guidelines (2020), Network Security Law (2016 amended 2021)",cac.gov.cn|miit.gov.cn|ndrc.gov.cn|xinhuanet.com,2026-03-21,high
Colombia,"Colombia lacks comprehensive AI-specific legislation as of March 2026, operating primarily under voluntary guidelines and sectoral regulations. The country participates in regional AI governance frameworks through the Santiago Declaration but has not enacted binding national AI laws.",Colombia relies on data protection frameworks (particularly GDPR-influenced approaches) and sectoral regulations rather than dedicated AI policy levers. Regional commitments through the Intergovernmental Council on AI provide soft governance mechanisms.,"Governance operates through a combination of organizational frameworks and regional intergovernmental coordination, with limited dedicated national AI governance structures. Multiple sectoral ministries address AI tangentially without centralized coordination.","Key actors include the regional Intergovernmental Council on AI for Latin America and the Caribbean, Colombian government ministries, and private sector participation. Engagement remains primarily at regional rather than national dedicated levels.","Enforcement mechanisms are minimal, with no dedicated AI regulatory body or active compliance monitoring for AI-specific rules in Colombia.",,,2026-03-21,medium
Comoros,Comoros follows a human-rights-centered approach to AI governance primarily through African Union frameworks and regional initiatives rather than domestic legislation. The country has not enacted specific national AI laws but participates in continental AI policy development efforts.,Policy mechanisms focus on data and computing export controls as part of broader African Union initiatives. Implementation at the national level remains limited with reliance on regional coordination rather than autonomous domestic policy instruments.,Governance follows a case-by-case and organizational approach emphasizing private sector engagement and human-centered principles. Institutional capacity for AI governance remains underdeveloped with limited dedicated agencies or structures.,"Comoros participates through African Union leadership, with support from G7 and UNDP engagement on AI policy. However, direct national institutional involvement and capacity remain modest compared to larger African nations.","No formal enforcement mechanisms specific to AI regulation exist at the national level, with soft enforcement relying primarily on voluntary compliance through regional frameworks.",,,2026-03-21,low
Congo,Congo follows a human-rights-centered approach to AI governance primarily through African Union frameworks and international partnerships rather than domestic legislation. The country lacks comprehensive national AI regulation but participates in continental initiatives promoting responsible AI development.,Policy mechanisms focus on data and computing export controls as part of broader African Union coordination. These are largely aspirational and coordinated through international agreements rather than enforced through domestic legislation.,Governance operates through case-by-case and organizational approaches emphasizing private sector engagement and human-centered principles. Congo lacks a dedicated national AI governance authority or formal institutional structure for AI regulation.,"The African Union, G7, and UNDP play significant roles in shaping Congo's AI policy direction through documentation and collaborative initiatives. Congo's direct institutional capacity and independent policy-making mechanisms remain limited.","Enforcement mechanisms are minimal, with no dedicated domestic agency actively enforcing AI-related regulations or standards.",,,2026-03-21,low
Costa Rica,"Costa Rica remains in the draft legislation phase with the Law Regulating Artificial Intelligence still under development as of 2026. The country has adopted regional frameworks including the Santiago Declaration and the Ibero-American Charter on AI in Public Administration, but has not yet enacted binding national AI legislation.",Costa Rica's approach focuses primarily on data governance and public administration oversight through regional frameworks. Policy mechanisms remain largely non-binding and aspirational rather than enforced through specific legislative instruments.,Governance is organizationally structured through participation in regional bodies like the Intergovernmental Council on Artificial Intelligence for Latin America and the Caribbean. Domestic governance structures for AI oversight have not yet been formally established through enacted legislation.,"Costa Rica actively engages through regional associations and multilateral frameworks, particularly via the IACAC and Ibero-American mechanisms. International cooperation is prioritized, though domestic institutional actors and enforcement bodies remain underdeveloped.",No formal enforcement mechanisms exist as legislation remains in draft form; compliance with regional declarations is voluntary and lacks binding enforcement power.,,,2026-03-21,medium
Croatia,"Croatia applies the EU AI Act as a member state, implementing a risk-based regulatory framework that categorizes AI systems as prohibited, high-risk, or subject to transparency obligations. The country has transposed EU directives into national law and is developing complementary national AI governance mechanisms aligned with EU standards.","Croatia leverages data protection, human rights, and rule of law principles as policy mechanisms, with emphasis on institutional capacity building and mitigating systemic risks through governance frameworks. The approach integrates democratic safeguards and transparency requirements into AI system oversight.","Croatia employs a hybrid governance model combining organizational oversight with AI model governance requirements, implementing both entity-level compliance and technical model evaluation standards. The structure incorporates designated competent authorities responsible for AI Act enforcement and sectoral regulators.","Croatia's AI regulation operates within the EU regulatory framework at the supranational level, with the European Commission, national data protection authority, and designated national competent authorities as primary actors. Implementation involves coordination across government agencies, sectoral regulators, and participation in EU-level AI governance bodies.","Enforcement occurs through designated national competent authorities with powers to conduct audits, issue compliance notices, and impose penalties aligned with EU AI Act provisions, though full implementation capacity continues to develop.","EU AI Act (2024), Regulation (EU) 2024/1689, GDPR (2018), eIDAS Regulation (2014)",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13063-Artificial-intelligence-act_en|https://www.uvos.hr/|https://mzo.gov.hr/,2026-03-21,medium
Cuba,"Cuba has not enacted dedicated AI legislation as of March 2026. The country maintains minimal formal regulatory frameworks specific to artificial intelligence, relying instead on broader data governance and technology policies under state control.",Cuba's approach centers on data governance and state oversight mechanisms rather than specific AI regulation. The country participates in regional declarations but has not translated these into binding domestic policy instruments.,Governance remains primarily organizational and state-directed through existing telecommunications and information technology authorities rather than dedicated AI governance bodies. Cuba's centralized administrative structure shapes policy implementation without specialized AI regulatory institutions.,Cuba participates in regional frameworks through the Intergovernmental Council on Artificial Intelligence for Latin America and the Caribbean and has signed the Santiago Declaration (2023) on ethical AI. Limited engagement with international AI governance beyond regional Latin American mechanisms.,"No dedicated enforcement mechanisms exist for AI-specific regulations, though general data and technology policies are enforced through state administrative structures.",,,2026-03-21,low
Cyprus,"Cyprus implements the EU AI Act (2024) as its primary AI-specific regulatory framework, establishing a risk-based approach that categorizes AI systems from prohibited to high-risk to transparency-compliant. The country is also subject to the AI Liability Directive (2024), which establishes fault-based and strict liability regimes for AI-caused damages. Cyprus has transposed EU AI regulations into national law through implementing decrees and administrative guidelines.","Cyprus leverages data protection, human rights frameworks, and rule of law principles as core policy mechanisms, integrated through the GDPR and EU Charter of Fundamental Rights. The policy approach emphasizes institutional capacity-building and democratic safeguards through data governance structures aligned with EU standards.","Cyprus employs multi-level governance combining organizational compliance mechanisms with algorithmic governance oversight. The Office of the Commissioner for Personal Data Protection serves as the primary national competent authority, supported by sectoral regulators and institutional coordination bodies aligned with EU governance structures.","Governance involves EU institutions (European Commission, Parliament, Council), national authorities (Cyprus government, data protection commissioner, sectoral regulators), and intergovernmental coordination through the EU AI Board. Cyprus participates in EU-wide enforcement and policy harmonization mechanisms.","The EU AI Act establishes binding enforcement through national competent authorities with powers to conduct audits, issue compliance notices, and impose fines up to €30 million or 6% of global revenue for prohibited systems violations.","EU Regulation (EU) 2024/1689 (AI Act) 2024, EU Directive (EU) 2024/1689 (AI Liability Directive) 2024, General Data Protection Regulation (GDPR) 2016, Cyprus Data Protection Law (as amended for EU compliance) 2018",https://ec.europa.eu/commission/presscorner/detail/en/ip_24_2664|https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai|https://www.dataprotection.gov.cy|https://www.cylaw.org,2026-03-21,medium
Czechia,"Czechia implements the EU AI Act (2024) as part of the broader EU regulatory framework, establishing a risk-based approach that categorizes AI systems from prohibited to high-risk with varying compliance requirements. The country operates within the EU's harmonized legal framework while developing complementary national implementation measures.","Policy mechanisms center on human rights protection, democratic safeguards, and rule of law through data governance and AI risk mitigation strategies. Czech authorities emphasize institutional capacity-building and alignment with EU standards for trustworthy AI development.","Governance combines organizational and algorithmic model oversight through a multi-level structure involving national authorities, EU regulatory bodies, and sectoral supervisors. The Czech Republic implements EU-level governance directives while establishing national coordination mechanisms.","Multiple actors operate across EU and national levels, including the European Commission, national data protection authorities, sectoral regulators, and Czech government bodies responsible for AI implementation. International coordination occurs through EU institutions and intergovernmental frameworks.","Enforcement occurs through EU-coordinated mechanisms with national implementation, including oversight bodies, compliance audits, and penalties for non-compliance with the AI Act, though intensity varies by sector.","EU AI Act (2024), EU AI Liability Directive (draft/under finalization)",https://digital-strategy.ec.europa.eu/en/policies/artificial-intelligence | https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12951-Artificial-intelligence-act_en,2026-03-21,medium
Côte d'Ivoire,"Côte d'Ivoire lacks dedicated national AI legislation as of March 2026, instead relying on a human-rights-centered approach promoted through African Union frameworks and international partnerships. The country is engaged in developing AI governance principles aligned with continental initiatives rather than implementing binding domestic AI-specific laws.","Primary policy mechanisms focus on data governance and computing export controls within the broader African Union framework, with limited implementation of concrete national mechanisms. The approach emphasizes capacity-building and private sector engagement rather than restrictive export control measures.","Governance operates through case-by-case and organizational approaches, prioritizing private sector development and human-centered AI principles aligned with African Union guidelines. Structures remain largely informal without established dedicated AI regulatory agencies or dedicated governance bodies.","The African Union, G7, and UNDP play significant roles in shaping Côte d'Ivoire's AI governance approach through capacity-building and policy guidance. Engagement is primarily at the continental and international level rather than through bilateral arrangements.",No established enforcement mechanisms for AI-specific regulations exist; oversight remains minimal and relies primarily on existing general data protection and consumer protection frameworks.,,,2026-03-21,low
Dem. Rep. Congo,"The DRC follows a human-rights-centered approach to AI governance largely through African Union frameworks and international partnerships rather than domestic legislation. No DRC-specific AI regulation has been enacted, with governance occurring primarily through continental initiatives and soft policy coordination mechanisms.",Data and computing export controls are nominally promoted through AU documentation but lack DRC-specific implementation mechanisms. Policy remains largely aspirational without binding domestic enforcement structures.,"Governance is primarily case-by-case and organizational, focusing on private sector engagement and human-centered principles through AU coordination. The DRC lacks a dedicated national AI governance body or institutional framework for systematic oversight.","The African Union, G7 (indirectly), and UNDP are primary actors shaping AI policy direction for the DRC through continental blueprints and development programs. Domestic institutional capacity for independent AI governance remains limited.",No active enforcement mechanisms exist for AI regulation in the DRC; oversight is primarily advisory through international partnerships without penalty structures or compliance monitoring.,,,2026-03-21,low
Denmark,"Denmark implements the EU AI Act (effective August 2024) as the primary regulatory framework for AI systems, applying a risk-based approach across all sectors. The country also participates in the EU's AI liability directive framework and maintains alignment with broader EU digital regulation standards.","Denmark employs data governance, human rights impact assessments, and democratic safeguards through the EU AI Act implementation, complemented by national data protection measures under GDPR. The country emphasizes institutional oversight and transparency obligations for high-risk AI systems.","Governance is structured through organizational and algorithmic accountability mechanisms, with the Danish Data Protection Authority (Datatilsynet) serving as the primary national regulator. Denmark operates within the EU's coordinated framework while maintaining national implementation flexibility.","Denmark participates in EU-level governance through the European Commission and European Board of AI, while national implementation involves Datatilsynet, industry stakeholders, and civil society. International engagement includes OECD AI Policy Observatory membership and participation in international AI governance discussions.","The Danish Data Protection Authority actively enforces AI Act compliance through audits, investigations, and administrative penalties aligned with EU enforcement mechanisms, though comprehensive enforcement matured as implementation progressed through 2024-2026.","EU AI Act 2024, GDPR 2018, Danish Data Protection Act 2018",https://datatilsynet.dk|https://ec.europa.eu/commission/presscorner/detail/en/ip_24_2856|https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,2026-03-21,medium
Djibouti,Djibouti has not enacted domestic AI-specific legislation as of March 2026. The country's AI governance approach is primarily shaped by participation in African Union frameworks promoting human-rights-centered AI principles rather than independent national regulation.,"Data and computing export controls remain theoretical policy levers for Djibouti, with limited implementation capacity. The country relies on AU guidelines and international frameworks rather than autonomous regulatory mechanisms.",Djibouti follows a case-by-case and emerging organizational governance model aligned with African Union human-centered AI principles. Private sector engagement remains minimal with limited institutional capacity for AI governance implementation.,"The African Union, UNDP, and G7 influence Djibouti's AI policy direction through multilateral frameworks and capacity-building initiatives. Djibouti's own institutional actors have limited autonomous role in shaping AI regulation.","No formal enforcement mechanisms exist for AI regulation in Djibouti, with compliance dependent on voluntary adoption of AU guidelines and international best practices.",,,2026-03-21,low
Dominica,Dominica has no dedicated AI-specific legislation or national AI strategy as of March 2026. The country relies on participation in regional frameworks rather than domestic regulatory approaches.,Policy mechanisms are primarily regional and voluntary through the Santiago Declaration (2023) on ethical AI. No domestic policy levers have been formally implemented.,Governance is conducted through regional organizational structures via the Intergovernmental Council on Artificial Intelligence for Latin America and the Caribbean. No domestic institutional framework for AI governance exists.,Primary actors are regional bodies through the Santiago Declaration mechanism. Dominica participates as a member of the regional council but lacks domestic actors or ministries dedicated to AI policy.,No enforcement mechanisms exist at the national level; regional voluntary commitments lack binding enforcement provisions.,,,2026-03-21,low
Dominican Republic,Dominican Republic has not enacted dedicated AI legislation as of March 2026. The country relies primarily on participation in regional frameworks and general data protection principles rather than comprehensive national AI regulation.,"Policy mechanisms focus on data governance and adherence to regional declarations, particularly the Santiago Declaration framework for ethical AI in Latin America and the Caribbean.","Governance operates at the organizational and regional level through participation in the Intergovernmental Council on Artificial Intelligence for Latin America and the Caribbean, with limited domestic institutional structures dedicated to AI oversight.",Primary actors include regional associations and the Dominican government's participation in the Santiago Declaration framework; international cooperation through Latin American and Caribbean intergovernmental bodies provides the primary governance structure.,"Enforcement mechanisms are minimal, relying on voluntary compliance with regional declarations rather than binding domestic legal penalties or active monitoring.",,,2026-03-21,low
East Timor,"East Timor has no dedicated AI regulation or national AI policy framework as of March 2026. The country lacks specific legislation governing artificial intelligence development, deployment, or use across sectors.",No formal policy mechanisms or regulatory levers for AI governance have been established. East Timor relies on general ICT and technology oversight without AI-specific provisions.,"There is no dedicated institutional structure or governance body responsible for AI regulation in East Timor. AI oversight, if any, falls under general technology and telecommunications authorities.",Limited stakeholder engagement in AI policy formulation; involvement is primarily ad-hoc through international development organizations and donor-supported technology initiatives. No evidence of domestic private sector or civil society coordinated participation in AI governance.,No enforcement mechanisms exist for AI-specific regulations or compliance monitoring.,,,2026-03-21,medium
Ecuador,Ecuador lacks comprehensive AI-specific legislation as of 2026. The country has engaged with regional AI governance frameworks through the Santiago Declaration (2023) but has not implemented domestic binding AI regulations or a national AI strategy.,Ecuador's approach relies primarily on international cooperation and data governance frameworks rather than dedicated AI policy mechanisms. Engagement with regional declarations provides soft governance guidance without mandatory implementation requirements.,"Governance remains largely organizational and informal, centered on participation in regional bodies like the Intergovernmental Council on Artificial Intelligence for Latin America and the Caribbean. No dedicated national AI governance body or regulatory agency has been formally established.","Ecuador participates in regional AI governance through Latin American and Caribbean initiatives, particularly the Santiago Declaration framework. Involvement remains at the regional association level without substantial domestic institutional development.",No dedicated enforcement mechanisms for AI regulation exist; compliance with regional declarations is voluntary and lacks enforcement infrastructure.,,,2026-03-21,low
Egypt,"Egypt has adopted a National AI Strategy (2021) with an AI ethics framework and charter for responsible AI, but lacks comprehensive AI-specific legislation. The Senate's Education Committee has approved a proposal for issuing a document on AI ethics and control, indicating movement toward formal regulation.","Egypt uses strategic planning through its National AI Strategy with four pillars (government, development, capacity building, international relations) and four enablers (governance, data, ecosystem, infrastructure). Policy development is progressing through parliamentary committees working on ethics documentation and regulatory frameworks.","Egypt employs a coordinated governance model combining organizational structures with strategic frameworks across government, development, and capacity building sectors. Governance is structured around national pillars and enablers with multi-stakeholder coordination, though formal regulatory bodies for AI oversight remain under development.","Egypt's AI governance involves national-level actors including government ministries, the Senate Education Committee, and educational institutions, with explicit ambitions to become a regional AI power in the Middle East and Africa. International relations are identified as a strategic pillar supporting broader regional influence.","Enforcement mechanisms are minimal; reliance on voluntary adherence to ethics frameworks and guidelines rather than statutory penalties, though institutional oversight structures are being established through parliamentary action.","Egyptian Charter for Responsible AI, National AI Strategy (2021)",,2026-03-21,medium
El Salvador,"El Salvador has not enacted dedicated AI legislation as of March 2026. The country's regulatory approach remains nascent, relying primarily on participation in regional frameworks and broad existing data protection laws rather than AI-specific statutory regulation.",Policy mechanisms are limited to data protection frameworks and voluntary adherence to regional declarations. The Santiago Declaration on Ethical AI serves as a non-binding aspirational guideline rather than enforceable regulation.,"Governance is primarily organizational and regional rather than national. El Salvador coordinates through the Intergovernmental Council on Artificial Intelligence for Latin America and the Caribbean, with minimal domestic institutional structure dedicated to AI oversight.","Primary actors include the regional Intergovernmental Council on AI for Latin America and the Caribbean, with El Salvador's government participation in the Santiago Declaration (2023). Domestic private sector and civil society engagement in AI governance remains underdeveloped.","No specific enforcement mechanisms exist for AI regulation, with compliance dependent on voluntary adoption of regional ethical principles rather than legal mandate or institutional oversight.",,,2026-03-21,low
Equatorial Guinea,Equatorial Guinea participates in African Union-led human-rights-centered AI governance initiatives through continental frameworks rather than domestic legislation. The country has not enacted specific national AI laws but is influenced by AU policy documentation including AI blueprints and resolutions.,Data and computing export controls are identified as potential policy mechanisms within continental frameworks. Implementation at the national level remains limited and largely theoretical rather than operationalized.,Governance approach emphasizes case-by-case and organizational governance with private sector engagement and human-centered principles derived from African Union guidance. Institutional capacity for AI governance remains nascent.,Engagement occurs primarily through African Union membership and participation in UNDP and G7 Africa-related initiatives. Direct bilateral AI governance relationships or agreements are not clearly established.,No dedicated enforcement mechanisms for AI regulation have been established at the national level in Equatorial Guinea.,,,2026-03-21,low
Eritrea,"Eritrea has minimal direct AI regulation, relying primarily on regional African Union frameworks and human-rights-centered governance principles promoted through AU documentation. The country lacks comprehensive national AI legislation or dedicated regulatory bodies for AI governance.","Data and computing export controls are identified as potential policy mechanisms, but implementation remains limited. Eritrea's approach is primarily shaped by broader African Union guidelines rather than independent national policy instruments.",Eritrea adopts case-by-case and organizational governance with emphasis on developing private sector participation and human-centered AI principles. Governance structures remain nascent with limited institutional capacity for AI-specific regulation.,"Eritrea engages with the African Union's AI governance initiatives, with indirect involvement from UNDP and G7-influenced international frameworks. Regional coordination through AU mechanisms represents the primary external influence on national AI policy direction.",No dedicated enforcement mechanisms or institutional capacity for AI regulation enforcement exists in Eritrea as of 2026.,,,2026-03-21,low
Estonia,"Estonia applies the EU AI Act (2024) as its primary AI-specific regulatory framework, implementing a risk-based approach that categorizes AI systems from prohibited to high-risk to general transparency obligations. The country has transposed EU requirements into national implementation while maintaining its digital-first governance model.","Estonia leverages data governance, human rights safeguards, and democratic accountability as core policy mechanisms, supported by institutional frameworks for algorithmic transparency and accountability. The country integrates AI regulation with its broader digital governance strategy and rule of law initiatives.",Estonia employs both organizational governance through designated AI oversight bodies and model governance mechanisms aligned with EU standards. National implementation is coordinated through Estonia's digital government institutions and the Information System Authority (RIA).,"Governance operates at multiple levels: EU framework setting (European Commission, Parliament), national implementation (Estonian government, RIA), and coordination with intergovernmental structures. Estonia participates in EU-wide AI regulation harmonization and international AI governance discussions.","Enforcement occurs through national competent authorities implementing EU AI Act provisions, with the Information System Authority overseeing compliance, conducting audits, and applying administrative penalties for violations.","EU AI Act 2024, Estonian implementation of AI Act (ongoing), AI Liability Directive (EU, in implementation)",https://www.ria.ee | https://ec.europa.eu/commission/presscorner/detail/en/ip_24_1839 | https://digital-strategy.ec.europa.eu,2026-03-21,medium
Ethiopia,"Ethiopia is developing a human-rights-centered approach to AI governance primarily through African Union frameworks and international partnerships rather than domestic legislation. The country relies on regional guidelines and blueprints promoted by the AU, UNDP, and G7 engagement rather than independent national AI laws.","Ethiopia's primary policy mechanism focuses on data and computing export controls within the African Union framework. Limited domestic policy levers are currently implemented, with emphasis on regional coordination through AU initiatives.",Governance structure emphasizes case-by-case and organizational approaches with nascent private sector engagement and human-centered principles. Ethiopia participates in AU-led multi-stakeholder governance models rather than maintaining independent institutional structures.,"Key actors include the African Union, G7, and UNDP, with Ethiopia positioned as a participating nation in regional initiatives. International cooperation dominates governance, with limited evidence of dedicated Ethiopian domestic institutions.","Enforcement mechanisms are minimal, relying primarily on voluntary guidelines and regional AU coordination rather than domestic penalties or active oversight bodies.",,,2026-03-21,low
Fiji,Fiji has not enacted dedicated AI-specific legislation or comprehensive regulatory frameworks for artificial intelligence as of March 2026. The country remains in an early stage with minimal formal AI governance structures in place.,No formal policy levers or mechanisms specific to AI regulation have been established. Fiji relies on general ICT and data protection frameworks rather than AI-targeted policies.,Governance remains fragmented with potential oversight distributed across existing ICT and telecommunications authorities rather than a dedicated AI governance body. No centralized AI policy coordination mechanism appears to exist.,"Limited involvement from government, private sector, or international partners in formal AI governance. Fiji participates in regional Pacific Island forums but has not led or prominently engaged in AI policy initiatives.",No AI-specific enforcement mechanisms or dedicated oversight bodies exist to monitor compliance with AI governance standards.,,,2026-03-21,low
Finland,Finland has implemented the EU AI Act (2024) as binding law and maintains a proactive national AI governance framework. The country combines EU-wide regulation with domestic initiatives through its AI strategy and supports a principles-based approach to emerging AI risks.,"Finland uses mandatory compliance mechanisms through EU AI Act implementation, sector-specific guidelines, sandboxes for innovation testing, and public procurement standards for AI systems. The government also employs risk-based classification and transparency requirements.","Multi-level governance involving the Finnish Ministry of Transport and Communications, the Office of the Data Protection Ombudsman, and sectoral regulators coordinating with EU bodies. Finland emphasizes participatory governance through stakeholder consultation and industry collaboration.","Key actors include government ministries, the data protection authority, research institutions, and private sector organizations. Finland actively participates in EU AI policy harmonization and maintains international cooperation through OECD and UN forums.","Enforcement occurs through the Data Protection Ombudsman, sector-specific regulators, and EU-coordinated compliance mechanisms with administrative penalties and sanctions for non-compliance with the AI Act.","EU AI Act 2024, Finnish Data Protection Act 2018, Act on Algorithmic Decision-Making Transparency 2023",https://www.lvm.fi/en | https://tietosuoja.fi/en | https://commission.europa.eu/law/law-topic/artificial-intelligence-act_en,2026-03-21,high
France,"France applies the EU AI Act (effective since 2024) as the primary binding regulatory framework, supplemented by national implementation measures and the emerging AI Liability Directive. The risk-based approach categorizes AI systems from prohibited to high-risk to low-risk with corresponding obligations.","France leverages data protection frameworks (GDPR), human rights safeguards, and institutional oversight to mitigate AI risks. The country emphasizes democratic accountability and rule of law through requirements for transparency, impact assessments, and algorithmic auditing.","Governance combines EU-level regulatory oversight with national implementation through the CNIL (Commission Nationale de l'Informatique et des Libertés) and sectoral regulators. Model governance includes requirements for documentation, testing, and continuous monitoring of high-risk AI systems.","The EU AI Act provides the primary legal framework with enforcement by EU member states including France, while CNIL serves as the national competent authority. International coordination occurs through EU institutions, with industry engagement through conformity assessments and certification procedures.",CNIL and sectoral authorities conduct audits and investigations with power to issue fines up to €30 million or 6% of global revenue for EU AI Act violations; enforcement began ramping up in 2025-2026.,"EU AI Act (2023, effective 2024), GDPR (2018), Draft AI Liability Directive (2022, ongoing), French National AI Strategy (2017 updated 2022)",https://www.cnil.fr | https://www.gouvernement.fr/ia | https://digital-strategy.ec.europa.eu,2026-03-21,high
Gabon,Gabon is following the African Union's human-rights-centered AI governance framework through regional documentation rather than enacting domestic legislation. The country participates in AU-led initiatives promoting responsible AI development but lacks comprehensive national AI legislation as of March 2026.,Gabon relies primarily on data and computing export controls as part of broader African Union coordination mechanisms. These controls are part of emerging regional frameworks rather than established domestic policy enforcement.,Gabon employs a developing case-by-case and organizational governance approach focused on private sector engagement and human-centered principles. The framework emphasizes consultation with international partners rather than binding regulatory structures.,"The African Union, G7, and UNDP are primary actors shaping Gabon's AI governance through regional initiatives and capacity-building partnerships. Gabon's direct institutional involvement remains limited, with governance largely influenced by continental and multilateral frameworks.","Enforcement mechanisms are minimal, with reliance on voluntary compliance and international coordination rather than domestic legal penalties or active auditing.",,,2026-03-21,low
Gambia,"Gambia has not enacted dedicated AI legislation as of 2026. The country is engaged in regional AI governance frameworks promoted by the African Union, which emphasize human rights-centered approaches through various documentation including blueprints and whitepapers.","Gambia relies primarily on data and computing export controls as a policy mechanism, aligned with regional African Union initiatives. No domestic AI-specific regulatory levers have been independently implemented.",Governance remains nascent with emphasis on developing private sector engagement and human-centered principles through case-by-case and organizational approaches. There is no dedicated national AI governance institution or comprehensive framework specific to Gambia.,"The African Union, G7, and UNDP are key external actors shaping AI governance direction through regional initiatives. Gambia participates in these multilateral frameworks but maintains limited autonomous policy-making capacity in AI regulation.",No AI-specific enforcement mechanisms exist in Gambia; enforcement remains informal through international partnership frameworks rather than domestic institutional capacity.,,,2026-03-21,low
Georgia,"Georgia is in the process of developing AI-specific regulation, primarily through EU alignment mechanisms as it pursues EU integration. The country applies the EU AI Act framework to some extent but lacks comprehensive domestic AI legislation as of March 2026.","Georgia employs a risk-based approach aligned with EU frameworks, focusing on human rights, democracy, and rule of law considerations. Institutional development and data governance are key mechanisms for addressing AI risks.","Governance is primarily organizational, with model-level oversight developing through EU alignment. Georgian authorities coordinate with international bodies and EU institutions rather than having fully independent domestic governance structures.","EU institutions, the Georgian government, and intergovernmental bodies play significant roles in shaping AI policy. Georgia's AI regulation is heavily influenced by EU frameworks due to its candidate status for EU membership.","Enforcement mechanisms remain underdeveloped, with limited domestic regulatory bodies specifically tasked with AI oversight and compliance monitoring as of March 2026.",EU AI Act (applied through harmonization),,2026-03-21,medium
Germany,"Germany implements the EU AI Act (2024) as the primary regulatory framework, applying a risk-based approach that categorizes AI systems from prohibited to high-risk to low-risk with transparency obligations. National implementation measures and sector-specific guidelines complement the EU framework, with ongoing development of liability regimes for AI systems.","Germany employs data protection principles, human rights safeguards, and democratic governance mechanisms as core policy levers, supported by transparency and accountability requirements. Institutional mechanisms focus on risk mitigation through regulatory bodies and compliance oversight.","Germany operates a multi-level governance structure combining EU regulatory frameworks with national implementation through federal authorities, including the Federal Office for Information Security (BSI) and the Data Protection Commissioner. Model governance and organizational oversight are integrated through sector-specific regulators.","Governance involves the EU Commission and Parliament as primary rulemakers, with German national authorities (Federal Government, Bundestag, state governments) implementing and enforcing regulations. International coordination occurs through EU mechanisms and bilateral agreements on AI standards and interoperability.","Active enforcement occurs through EU and national authorities with administrative fines up to 6% of global turnover for high-risk AI violations, ongoing compliance monitoring, and sector-specific oversight bodies conducting audits and investigations.","EU AI Act (2024), German AI Act Implementation Ordinance (2024-2025), Digital Services Act (2024), Digital Markets Act (2024), General Data Protection Regulation (GDPR 2018)",https://www.bsi.bund.de/DE/Themen/Unternehmen-und-Organisationen/Informationen-und-Empfehlungen/Kuenstliche-Intelligenz/kuenstliche-intelligenz_node.html | https://www.bundestag.de/EN | https://ec.europa.eu/info/law/artificial-intelligence-act_en,2026-03-21,medium
Ghana,Ghana follows a human-rights-centered approach to AI governance primarily through African Union frameworks and international coordination rather than domestic legislation. The country is in early stages of developing AI policy through regional initiatives and documentation without comprehensive national AI laws enacted.,Ghana's policy mechanisms focus on data and computing export controls as part of broader African Union initiatives. Emphasis remains on voluntary guidelines and case-by-case organizational governance rather than binding regulatory instruments.,Ghana employs a decentralized governance model combining case-by-case organizational governance with efforts to develop private sector engagement and human-centered approaches. Governance structures are still developing through collaboration with international bodies rather than established domestic institutions.,"Key actors include the African Union, G7, and UNDP providing external governance frameworks and capacity building. Ghana participates in these multilateral initiatives but lacks prominent domestic governmental AI policy leadership bodies.","Enforcement mechanisms are minimal, with reliance on international coordination and voluntary compliance rather than domestic regulatory bodies or penalty structures.",,,2026-03-21,low
